订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现,大类,二级类
DD201708167493663618499909784,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/1/1 00:53,D,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749368329675770932,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/1/2 20:58,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493682323795309392,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/1/15 22:38,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493907136871379285,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/4/8 09:47,D,已出货未退款,已提现,非饮料,饼干糕点
DD2017081674930702139754200256,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/5/4 07:53,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493767514805262783,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/5/13 15:11,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493495285882779195,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/6/2 20:20,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493390667887876753,07631,9.0,9.0,68g好丽友巧克力派2枚,2017/6/7 07:48,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493311038129177699,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/6/19 07:56,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493493259300961091,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/6/22 15:28,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493425722218710435,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/7/27 19:28,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493563550717180176,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/8/18 23:42,D,已出货未退款,已提现,非饮料,饼干糕点
DD2017081674930584011451626411,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/9/1 16:41,D,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749387887882989265,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/9/6 15:12,D,已出货未退款,已提现,非饮料,饼干糕点
DD2017081674930388540078451682,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/9/11 04:06,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493420197002948664,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/10/6 07:41,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493490814298834236,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/10/14 11:04,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493506834034137613,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/10/15 16:23,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493795064607434811,07631,4.0,4.0,68g好丽友巧克力派2枚,2017/11/20 19:16,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493804864767414494,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/12/5 20:47,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493863494754213971,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/12/9 13:13,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493290548812206374,07631,4.5,4.5,68g好丽友巧克力派2枚,2017/12/29 17:24,D,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493866546858749281,07631,3.0,3.0,40g双汇玉米热狗肠,2017/1/9 15:23,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493871629985017795,07631,1.5,1.5,40g双汇玉米热狗肠,2017/1/9 18:19,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493890904839213547,07631,1.5,1.5,40g双汇玉米热狗肠,2017/1/10 15:42,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493899117604873086,07631,3.0,3.0,40g双汇玉米热狗肠,2017/1/10 19:48,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493912161920477474,07631,1.5,1.5,40g双汇玉米热狗肠,2017/1/11 07:32,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493667457755426796,07631,3.0,3.0,40g双汇玉米热狗肠,2017/1/29 19:12,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493184936231613189,07631,4.5,4.5,40g双汇玉米热狗肠,2017/1/30 12:21,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493681103554071193,07631,1.5,1.5,40g双汇玉米热狗肠,2017/3/30 15:04,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD20170816749391853257675541,07631,1.5,1.5,40g双汇玉米热狗肠,2017/3/31 11:51,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD201708167493011383938446124,07631,1.5,1.5,40g双汇玉米热狗肠,2017/4/13 04:41,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
DD2017081674930152261099257937,07631,1.5,1.5,40g双汇玉米热狗肠,2017/4/15 06:04,D,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
