订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现,大类,二级类
DD20170816749300229112037656709,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/1/3 01:53,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493378243726136547,06874,14.0,14.0,68g好丽友巧克力派2枚,2017/1/29 11:15,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493602891682850302,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/3/29 13:17,E,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749354740197576134,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/3/29 17:11,E,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749300201200671606871,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/4/2 21:21,E,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749330293440297579,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/4/3 16:21,E,已出货未退款,已提现,非饮料,饼干糕点
DD2017081674930602863039023772,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/5/1 05:40,E,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749308197207338096,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/5/7 23:18,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493122892455952756,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/5/20 13:15,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493653642654326601,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/6/3 17:03,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493654036091230155,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/6/3 17:11,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493397470208295409,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/6/12 12:11,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493623113710879441,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/6/21 16:02,E,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749324916018845621,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/6/21 17:17,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493278394940928275,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/6/21 17:34,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493289899396034803,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/6/21 17:35,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493300991244026237,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/6/21 17:44,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493305765606140549,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/6/21 17:53,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493351192632576884,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/6/21 18:17,E,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749338348945946173,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/6/21 19:12,E,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493624374063028284,06874,4.5,4.5,68g好丽友巧克力派2枚,2017/6/22 17:14,E,已出货未退款,已提现,非饮料,饼干糕点
