订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现,大类,二级类
DD201708167493529849068514902,04228,4.0,4.0,68g好丽友巧克力派2枚,2017/1/8 20:22,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493876353091909391,04228,14.0,14.0,68g好丽友巧克力派2枚,2017/1/9 21:38,C,已出货未退款,已提现,非饮料,饼干糕点
DD2017081674930597840516514743,04228,4.5,4.5,68g好丽友巧克力派2枚,2017/4/30 23:21,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493811342530830268,04228,4.5,4.5,68g好丽友巧克力派2枚,2017/5/2 18:17,C,已出货未退款,已提现,非饮料,饼干糕点
DD2017081674930935078924268584,04228,4.5,4.5,68g好丽友巧克力派2枚,2017/5/11 12:50,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493102216593143616,04228,3.5,3.5,68g好丽友巧克力派2枚,2017/5/14 08:44,C,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749314731914624413,04228,4.5,4.5,68g好丽友巧克力派2枚,2017/5/24 19:27,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493163316739804168,04228,7.0,7.0,68g好丽友巧克力派2枚,2017/5/27 09:47,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493177597019258465,04228,7.0,7.0,68g好丽友巧克力派2枚,2017/5/29 17:36,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493180578994297218,04228,4.5,4.5,68g好丽友巧克力派2枚,2017/5/29 23:17,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493206714487632856,04228,4.5,4.5,68g好丽友巧克力派2枚,2017/6/2 23:43,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493252940487640114,04228,3.5,3.5,68g好丽友巧克力派2枚,2017/6/10 12:45,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493267451611056055,04228,7.0,7.0,68g好丽友巧克力派2枚,2017/6/12 03:59,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493639271761141351,04228,4.5,4.5,68g好丽友巧克力派2枚,2017/6/20 14:51,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493368101880965478,04228,4.5,4.5,68g好丽友巧克力派2枚,2017/6/28 15:15,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493382115609510327,04228,4.5,4.5,68g好丽友巧克力派2枚,2017/6/30 14:24,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493382624426306711,04228,9.0,9.0,68g好丽友巧克力派2枚,2017/6/30 15:34,C,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493298031668322794,04228,4.5,4.5,68g好丽友巧克力派2枚,2017/8/7 20:26,C,已出货未退款,已提现,非饮料,饼干糕点
