订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现,大类,二级类
DD201708167493020259455996247,04134,9.0,9.0,68g好丽友巧克力派2枚,2017/4/17 10:21,B,已出货未退款,已提现,非饮料,饼干糕点
DD2017081674930318307402396486,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/4/20 23:11,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493122702085385253,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/5/20 11:57,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493142208525870814,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/5/23 21:39,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493170708641339583,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/5/28 17:34,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493377797120168811,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/5/28 19:52,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493191230745867648,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/6/1 04:21,B,已出货未退款,已提现,非饮料,饼干糕点
DD2017081674932006537457394,04134,9.0,9.0,68g好丽友巧克力派2枚,2017/6/2 05:27,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493657047550794238,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/6/5 12:14,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493503277499046221,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/6/8 09:03,B,已出货未退款,已提现,非饮料,饼干糕点
DD2017081674933523792816451,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/6/25 17:10,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493477487204490326,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/7/2 12:24,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493457679743953407,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/7/5 19:59,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493297799869924106,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/8/7 16:31,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493394287557281033,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/8/13 17:23,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493234824222133982,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/9/9 15:28,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493195793170344097,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/9/11 08:21,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493210357068368123,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/9/11 21:54,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493386261237408765,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/10/1 07:56,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493429007057697128,04134,9.0,9.0,68g好丽友巧克力派2枚,2017/10/7 12:15,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493481977429262941,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/10/13 12:37,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493510558291195179,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/10/16 01:58,B,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749351933552486228,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/10/17 07:48,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493522835267153581,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/10/17 15:47,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493551089641785377,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/10/20 08:01,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493476937707469079,04134,4.0,4.0,68g好丽友巧克力派2枚,2017/10/20 12:35,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493553279885664925,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/10/20 13:12,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493884500028212997,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/10/21 20:58,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493235067210169085,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/10/25 20:35,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493608645884383037,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/10/26 07:23,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493756471551432617,04134,4.0,4.0,68g好丽友巧克力派2枚,2017/11/2 00:49,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493637287018313556,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/12/16 15:59,B,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493657238116045652,04134,4.5,4.5,68g好丽友巧克力派2枚,2017/12/21 09:00,B,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749300220148273130327,04134,1.5,1.5,40g双汇玉米热狗肠,2017/1/3 01:52,B,已出货未退款,已提现,非饮料,肉干/豆制品/蛋
