订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现,大类,二级类
DD201708167493091719979004996,04172,4.0,4.0,68g好丽友巧克力派2枚,2017/5/10 20:15,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493759152443537589,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/5/16 19:08,A,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749329468754945629,04172,4.0,4.0,68g好丽友巧克力派2枚,2017/6/16 14:24,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493327069170546001,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/6/21 13:38,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493329868074871668,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/6/21 22:24,A,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749337806157207228,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/6/29 22:11,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493148157663793065,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/7/24 11:51,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493617478775688865,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/7/25 20:36,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493256837236716375,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/9/2 12:24,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493919020953228535,04172,4.0,4.0,68g好丽友巧克力派2枚,2017/9/8 08:25,A,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749311868505194046,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/9/8 20:57,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493233301710063819,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/9/9 17:18,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493671375883224865,04172,4.0,4.0,68g好丽友巧克力派2枚,2017/9/14 15:25,A,已出货未退款,已提现,非饮料,饼干糕点
DD2017081674930976220809793313,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/9/16 10:01,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493395040300686032,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/10/2 15:38,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493529143871136676,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/10/18 08:28,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493554389671633138,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/10/20 14:15,A,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749388420742608414,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/10/21 20:46,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493623364667028391,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/10/27 12:39,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493659790620045698,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/10/29 15:34,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493685164206508145,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/10/30 17:34,A,已出货未退款,已提现,非饮料,饼干糕点
DD201708167493638994290880567,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/11/5 12:16,A,已出货未退款,已提现,非饮料,饼干糕点
DD20170816749365263466000666,04172,4.5,4.5,68g好丽友巧克力派2枚,2017/11/6 17:39,A,已出货未退款,已提现,非饮料,饼干糕点
