商品,销量,商品总毛利润,评价,销售情况
东鹏特饮,411,288.7,362.08,热销
阿萨姆奶茶,365,292.3,335.92,热销
怡宝纯净水,387,155.5,294.4,热销
营养快线,319,257.1,294.24,热销
脉动,283,230.5,262.0,热销
统一冰红茶,309,186.10000000000002,259.84000000000003,热销
红牛,180,216.60000000000002,194.64000000000001,热销
卫龙大面筋,205,124.4,172.76,热销
30g无穷农场盐_鸡蛋,192,125.7,165.48,热销
统一绿茶,188,114.2,158.48000000000002,热销
王老吉（罐）,177,124.7,156.08,热销
雪碧最新款,178,106.7,149.48000000000002,热销
可口可乐（500ml）,176,105.60000000000001,147.84,正常
果粒橙,168,101.5,141.4,正常
香豆干,188,40.0,128.8,正常
可口可乐最新款,144,86.5,121.0,正常
鸭翅,158,56.400000000000006,117.36,正常
40g双汇玉米热狗肠,151,63.400000000000006,115.96,正常
雪碧（500ml）,132,79.30000000000001,110.92000000000002,正常
13g无穷烤鸡小腿蜂蜜味,111,90.7,102.88,正常
250ml维他柠檬茶,109,91.0,101.79999999999998,正常
熊字饼,117,70.3,98.32000000000001,正常
250ml红牛,68,143.8,98.32000000000001,正常
20g咪咪虾条马来西亚风味,124,52.84000000000006,95.53600000000002,正常
85g统一老坛酸菜牛肉面,86,94.0,89.2,正常
250ml维他原味豆奶,96,63.620000000000005,83.048,正常
伊利优酸乳,102,50.6,81.44,正常
王老吉（500ml）,87,69.60000000000001,80.03999999999999,正常
430g泰奇八宝粥,63,98.0,77.0,正常
250ml燕塘甜牛奶,77,75.8,76.52,正常
银鹭八宝粥,83,66.7,76.48,正常
小鱼仔,108,23.400000000000002,74.16,正常
145ml旺仔牛奶盒装,81,58.5,72.0,正常
250ml燕塘原味酸奶,72,70.5,71.4,正常
口味王槟榔（绿）,51,102.0,71.4,正常
美年达（罐）,83,48.800000000000004,69.32,正常
伊利纯牛奶,81,48.6,68.04,正常
86g合味道海鲜风味,58,72.9,63.96,正常
250ml燕塘红枣牛奶,64,59.900000000000006,62.36,正常
32g卫龙亲嘴烧,80,34.560000000000024,61.82400000000001,正常
55g奥利奥原味芝士饼干,59,59.900000000000006,59.36,正常
268ml雀巢咖啡丝滑拿铁,53,67.7,58.879999999999995,正常
85g新麦潮北海道吐司,69,42.800000000000004,58.519999999999996,正常
600ml可口可乐,63,48.400000000000006,57.16,正常
维他柠檬茶,65,40.0,55.0,正常
330ml伊利畅意乳酸菌原味,44,57.1,49.24,正常
维他奶,56,33.4,46.96,正常
12g劲仔小鱼麻辣味,59,28.0,46.6,正常
85g新麦潮手撕面包（提子味）,54,34.0,46.0,正常
可口可乐330ml,54,30.6,44.64,正常
2g韩国海牌海苔,48,33.9,42.36,正常
100g*5瓶益力多,25,67.2,41.88,正常
85g嘉士利果乐果香夹心饼干蓝莓味,43,39.6,41.64,正常
78g卫龙亲嘴语辣条,43,38.1,41.040000000000006,正常
500ml统一阿萨姆奶茶,35,48.0,40.2,正常
10g卫龙亲嘴烧香辣味,54,18.099999999999998,39.64,正常
480ml小茗同学冷泡青柠红茶,35,46.5,39.6,正常
600ml脉动青柠,35,42.78,38.112,正常
45g双汇泡面拍挡,47,20.1,36.24,正常
52g旺旺仙贝,38,32.4,35.760000000000005,正常
58g丽芝士纳宝帝奶酪威化饼干,39,30.900000000000002,35.76,正常
205g伊利安慕希原味,33,36.1,34.24,正常
32g卫龙亲嘴烧红烧牛肉味,38,24.83999999999999,32.736,正常
香脆肠,42,11.9,29.96,正常
180ml雀巢咖啡罐装,28,31.5,29.400000000000002,正常
70g乖媳妇野山泡椒凤爪,28,31.3,29.32,正常
150g健能酸奶原味,31,25.8,28.919999999999998,正常
148g富甲一方紫薯仔,25,33.800000000000004,28.520000000000003,正常
口味王槟榔（红）,16,45.6,27.840000000000003,正常
雀巢咖啡,24,33.0,27.6,正常
百事可乐330ml,32,18.900000000000002,26.76,正常
250ml维他奶巧克力味,29,23.0,26.6,正常
茉莉蜜茶,31,18.900000000000002,26.16,正常
250ML东鹏特饮,25,24.8,24.92,正常
40g乐事美国经典原味,25,24.3,24.72,正常
40g乐事薯片黄瓜味,25,23.3,24.32,正常
20g马来西亚风味咪咪蟹味粒0219,32,12.239999999999998,24.096,正常
450ml美汁源果粒橙,25,22.0,23.8,正常
91g徐福记凤梨酥,21,27.3,23.520000000000003,正常
500ml加多宝,23,22.200000000000003,22.68,正常
160g盼盼手撕面包,18,29.0,22.4,正常
65g卫龙亲嘴豆皮,23,20.700000000000003,22.08,正常
68g好丽友巧克力派2枚,22,20.6,21.439999999999998,正常
芙蓉王,8,40.0,20.8,正常
180g统一满汉全席台式半筋半肉牛肉面,5,43.56,20.424000000000003,正常
80g四洲粟一烧烧烤味,17,25.200000000000003,20.28,正常
咪咪,28,5.6000000000000005,19.04,正常
260g马来西亚进口茱蒂丝口口香饼干,5,39.6,18.840000000000003,正常
80g香飘飘椰果奶茶麦香味,18,19.8,18.72,正常
600ml雪碧,19,17.48,18.392000000000003,正常
370g泰奇八宝粥,16,20.400000000000002,17.76,正常
70g乐事薯片黄瓜味,15,20.0,17.0,正常
湘潭铺子(羽泉版),12,24.0,16.8,正常
维他原味豆奶,18,14.700000000000001,16.68,正常
103g康师傅红烧牛肉面,16,16.5,16.2,正常
可乐可乐,18,13.200000000000001,16.08,正常
雪碧330ml,19,10.600000000000001,15.64,正常
75g新麦潮天然酵母面包（北海道牛奶风味）,19,10.3,15.52,正常
40g呀土豆番茄酱味,16,14.4,15.36,正常
双汇玉米热狗肠,19,8.0,14.600000000000001,正常
78g卫龙亲语,15,13.5,14.4,正常
冰糖雪梨,16,11.100000000000001,14.04,正常
乐虎（380ml）,15,12.0,13.8,正常
40g呀土豆薯片滋香烤鸡味,14,13.5,13.8,正常
37.5g费列罗榛果威化巧克力3颗,9,20.88,13.751999999999999,正常
印尼芝士威化饼干,16,9.600000000000001,13.440000000000001,正常
55g奥利奥原味夹心饼干,13,13.4,13.16,正常
220g宝丰龙龟苓膏,13,12.8,12.920000000000002,正常
阿萨姆煎茶奶绿,14,11.200000000000001,12.88,正常
150g洽洽原香瓜子,11,15.4,12.76,正常
110g顺宝九制话梅,14,10.76,12.704,正常
86g合味道浓猪骨味,11,13.4,11.96,正常
225g味之不规则饼干芝士味,9,16.2,11.879999999999999,正常
劲仔小鱼（麻辣味）,16,5.4,11.76,正常
凤爪,15,6.2,11.48,正常
500ml农夫果园 (芒果+菠萝+番石榴),11,11.700000000000001,11.280000000000001,正常
12g劲仔小鱼卤香味,12,9.0,10.799999999999999,正常
怡宝,14,5.6000000000000005,10.64,正常
乖媳妇野山椒风爪,12,8.4,10.559999999999999,正常
合味道（海鲜风味）,9,12.600000000000001,10.440000000000001,正常
小糖衣血糖仪,17,0.3400000000000001,10.335999999999999,正常
80g香飘飘椰果奶茶原味,10,10.8,10.32,正常
50g上好佳田园薯片番茄味,11,9.0,10.2,正常
70g乐事薯片原味,9,12.0,10.2,正常
100g果王咸柑桔罐装,9,11.700000000000001,10.08,正常
70g乐事薯片（黄瓜味）,9,11.5,10.0,正常
奥利奥原味芝士,10,9.600000000000001,9.84,正常
80g马赛克香蕉片,10,9.5,9.8,正常
250ml王老吉盒装,12,6.5,9.799999999999999,正常
无穷农场盐_鸡蛋,12,6.0,9.6,正常
咪咪虾条马来西亚风味,11,6.240000000000001,9.096,正常
美汁源果粒橙,8,10.0,8.8,正常
480ml小茗同学冷泡溜溜哒茶,7,10.8,8.52,正常
健能酸奶,8,8.6,8.24,正常
加多宝,7,9.700000000000001,8.080000000000002,正常
145g果王迷你山楂包装,7,9.600000000000001,8.040000000000001,正常
益力多100g*5瓶,5,12.200000000000001,7.880000000000001,正常
统一来一桶香辣老坛酸菜牛肉面,7,8.8,7.720000000000001,正常
250ml维他奶低糖原味,9,5.4,7.56,正常
芬达330ml,9,5.0,7.3999999999999995,正常
30g元朗小蛋卷,9,5.0,7.3999999999999995,正常
康师傅矿泉水,10,3.34,7.336,正常
泰奇八宝粥,6,8.4,6.96,正常
48g好丽友薯愿香烤原味,7,6.800000000000001,6.920000000000001,正常
68g好丽友蛋黄派2枚,7,6.300000000000001,6.720000000000001,正常
椰树牌椰汁,7,6.300000000000001,6.720000000000001,正常
50g马赛克手撕鱿鱼条,5,9.0,6.6,正常
燕塘原味酸奶,6,5.4,5.76,正常
