商品,销量,商品总毛利润,评价,销售情况
怡宝纯净水,1705,923.9000000000001,1392.56,热销
脉动,996,902.1,958.44,热销
营养快线,805,706.5,765.6,热销
阿萨姆奶茶,792,697.1,754.04,热销
东鹏特饮,709,523.0,634.6,热销
统一冰红茶,626,434.90000000000003,549.56,热销
统一绿茶,490,343.20000000000005,431.28000000000003,热销
果粒橙,470,348.6,421.44000000000005,热销
王老吉（500ml）,417,376.0,400.6,热销
王老吉（罐）,410,315.8,372.32,热销
250ml维他柠檬茶,397,300.40000000000003,358.36,热销
250ml维他原味豆奶,391,259.19999999999993,338.28,热销
红牛,289,390.90000000000003,329.76,热销
芬达330ml,382,246.60000000000002,327.84000000000003,热销
40g双汇玉米热狗肠,415,175.20000000000002,319.08000000000004,正常
伊利优酸乳,375,203.8,306.52,正常
30g无穷农场盐_鸡蛋,341,217.4,291.56,正常
雪碧最新款,309,198.10000000000002,264.64,正常
250ml燕塘原味酸奶,249,226.4,239.96,正常
86g合味道海鲜风味,210,253.9,227.56,正常
268ml雀巢咖啡丝滑拿铁,197,258.2,221.48,正常
250ml红牛,172,295.28000000000003,221.312,正常
250ml燕塘甜牛奶,232,204.20000000000002,220.88,正常
鸭翅,282,100.4,209.35999999999999,正常
可口可乐330ml,244,152.4,207.36,正常
银鹭八宝粥,220,183.8,205.52,正常
伊利纯牛奶,241,149.5,204.4,正常
250ml燕塘红枣牛奶,206,191.5,200.2,正常
145ml旺仔牛奶盒装,228,155.0,198.79999999999998,正常
13g无穷烤鸡小腿蜂蜜味,212,170.0,195.2,正常
20g咪咪虾条马来西亚风味,260,95.84000000000012,194.33600000000004,正常
85g统一老坛酸菜牛肉面,180,200.70000000000002,188.28000000000003,正常
可口可乐（500ml）,202,148.0,180.39999999999998,正常
430g泰奇八宝粥,159,203.20000000000002,176.68,正常
香豆干,251,60.0,174.6,正常
熊字饼,191,128.20000000000002,165.88,正常
330ml伊利畅意乳酸菌原味,149,183.0,162.6,正常
500ml统一阿萨姆奶茶,158,152.1,155.64,正常
85g新麦潮北海道吐司,181,114.2,154.28,正常
雪碧（500ml）,172,125.72000000000001,153.488,正常
