商品,销量,商品总毛利润,评价,销售情况
怡宝纯净水,999,523.5,808.8,热销
脉动,759,689.5,731.2,热销
东鹏特饮,525,387.20000000000005,469.88,热销
阿萨姆奶茶,456,392.70000000000005,430.68,热销
营养快线,435,377.70000000000005,412.08000000000004,热销
王老吉（罐）,402,303.3,362.52,热销
统一冰红茶,394,268.2,343.67999999999995,热销
果粒橙,328,227.60000000000002,287.84000000000003,热销
红牛,231,293.90000000000003,256.16,热销
250ml维他柠檬茶,255,212.5,238.0,热销
30g无穷农场盐_鸡蛋,275,174.3,234.72000000000003,热销
芬达330ml,271,176.10000000000002,233.04000000000002,热销
王老吉（500ml）,238,221.9,231.56,热销
雪碧最新款,259,158.3,218.72000000000003,热销
伊利优酸乳,258,143.4,212.16,正常
统一绿茶,246,161.0,212.0,正常
250ml维他原味豆奶,217,162.62,195.248,正常
卫龙大面筋,221,133.0,185.8,正常
可口可乐330ml,219,135.1,185.44,正常
怡宝,182,109.2,152.88,正常
银鹭八宝粥,166,133.1,152.84,正常
13g无穷烤鸡小腿蜂蜜味,158,132.70000000000002,147.88,正常
250ml红牛,119,180.70000000000002,143.68,正常
20g咪咪虾条马来西亚风味,184,70.54000000000006,138.616,正常
250ml燕塘原味酸奶,134,136.70000000000002,135.07999999999998,正常
250ml燕塘甜牛奶,129,132.1,130.24,正常
鸭翅,171,61.2,127.08,正常
250ml燕塘红枣牛奶,129,123.80000000000001,126.92,正常
86g合味道海鲜风味,111,147.0,125.4,正常
40g双汇玉米热狗肠,160,68.2,123.28,正常
85g统一老坛酸菜牛肉面,105,119.7,110.88,正常
145ml旺仔牛奶盒装,127,80.86000000000001,108.54400000000001,正常
伊利纯牛奶,127,80.5,108.4,正常
268ml雀巢咖啡丝滑拿铁,95,123.60000000000001,106.44,正常
可口可乐最新款,125,75.3,105.12,正常
32g卫龙亲嘴烧,126,66.2400000000001,102.09600000000003,正常
85g新麦潮北海道吐司,121,71.7,101.28,正常
口味王槟榔（绿）,71,142.0,99.4,正常
260g马来西亚进口茱蒂丝口口香饼干,26,208.8,99.12,正常
芙蓉王,34,169.20000000000002,88.08000000000001,正常
85g新麦潮手撕面包（提子味）,104,64.0,88.0,正常
188g澳门永辉鸡仔饼,26,176.8,86.32000000000001,正常
430g泰奇八宝粥,73,104.2,85.48,正常
12g劲仔小鱼麻辣味,105,53.1,84.24000000000001,正常
500ml统一阿萨姆奶茶,80,88.60000000000001,83.44,正常
小鱼仔,116,29.1,81.24,正常
香豆干,115,29.6,80.84,正常
330ml伊利畅意乳酸菌原味,66,100.9,79.96000000000001,正常
熊字饼,90,63.300000000000004,79.32000000000001,正常
口味王槟榔（红）,43,129.0,77.4,正常
维他柠檬茶,73,71.7,72.48,正常
雪碧（500ml）,82,57.800000000000004,72.32,正常
阿萨姆煎茶奶绿,76,60.800000000000004,69.92,正常
100g*5瓶益力多,33,116.9,66.56,正常
维他奶,79,46.900000000000006,66.16,正常
205g伊利安慕希原味,51,75.7,60.879999999999995,正常
雪碧330ml,70,45.2,60.08,正常
450ml美汁源果粒橙,61,57.900000000000006,59.760000000000005,正常
600ml雪碧,69,43.82000000000002,58.92800000000001,正常
茉莉蜜茶,70,42.300000000000004,58.92,正常
咪咪虾条马来西亚风味,75,30.400000000000013,57.160000000000004,正常
55g奥利奥原味芝士饼干,60,52.400000000000006,56.96000000000001,正常
2g韩国海牌海苔,70,36.99999999999998,56.79999999999999,正常
52g旺旺仙贝,55,55.800000000000004,55.32000000000001,正常
37.5g费列罗榛果威化巧克力3颗,36,83.20000000000003,54.88000000000001,正常
500ml加多宝,52,53.5,52.6,正常
78g卫龙亲嘴语辣条,53,50.2,51.879999999999995,正常
可口可乐（500ml）,60,39.2,51.68,正常
58g丽芝士纳宝帝奶酪威化饼干,61,37.6,51.64,正常
600ml可口可乐,57,43.1,51.44,正常
冰糖雪梨,59,36.0,49.8,正常
180g统一满汉全席台式半筋半肉牛肉面,14,102.96000000000002,49.58400000000001,正常
70g乖媳妇野山泡椒凤爪,53,42.800000000000004,48.92,正常
85g嘉士利果乐果香夹心饼干蓝莓味,49,45.900000000000006,47.760000000000005,正常
香脆肠,65,21.6,47.64,正常
250ml维他奶巧克力味,53,37.56,46.824,正常
160g盼盼手撕面包,38,53.0,44.0,正常
合味道（海鲜风味）,33,58.800000000000004,43.32000000000001,正常
75g新麦潮天然酵母面包（北海道牛奶风味）,54,27.3,43.32,正常
