商品,销量,商品总毛利润,评价,销售情况
怡宝纯净水,1342,695.7,1083.48,热销
东鹏特饮,488,343.0,430.0,热销
阿萨姆奶茶,457,386.20000000000005,428.68,热销
脉动,431,374.40000000000003,408.36,热销
营养快线,425,366.0,401.4,热销
王老吉（500ml）,310,275.90000000000003,296.36,热销
统一冰红茶,334,223.3,289.72,热销
果粒橙,245,180.0,219.0,热销
红牛,198,240.3,214.92000000000002,热销
30g无穷农场盐_鸡蛋,243,165.5,212.0,热销
250ml维他柠檬茶,236,165.4,207.76,热销
250ml维他原味豆奶,229,146.52000000000004,196.00800000000004,热销
王老吉（罐）,201,151.3,181.12,热销
统一绿茶,209,134.1,179.04,热销
可口可乐330ml,212,124.5,177.0,正常
芬达330ml,198,122.5,167.8,正常
卫龙大面筋,193,116.2,162.28,正常
13g无穷烤鸡小腿蜂蜜味,168,136.9,155.56,正常
145ml旺仔牛奶盒装,172,122.80000000000001,152.32,正常
鸭翅,204,71.5,151.0,正常
40g双汇玉米热狗肠,193,84.7,149.68,正常
伊利纯牛奶,175,105.9,147.36,正常
伊利优酸乳,179,98.2,146.68,正常
香豆干,194,42.400000000000006,133.35999999999999,正常
口味王槟榔（绿）,94,188.0,131.6,正常
250ml燕塘原味酸奶,130,124.5,127.80000000000001,正常
250ml红牛,99,163.5,124.80000000000001,正常
250ml燕塘甜牛奶,131,114.80000000000001,124.52000000000001,正常
86g合味道海鲜风味,107,142.3,121.12,正常
雪碧（500ml）,137,93.7,119.68,正常
雪碧最新款,139,85.60000000000001,117.63999999999999,正常
250ml燕塘红枣牛奶,114,113.10000000000001,113.64,正常
20g咪咪虾条马来西亚风味,149,59.620000000000076,113.24800000000002,正常
芙蓉王,43,214.20000000000002,111.48,正常
银鹭八宝粥,120,96.0,110.4,正常
268ml雀巢咖啡丝滑拿铁,94,132.5,109.4,正常
330ml伊利畅意乳酸菌原味,93,126.4,106.36,正常
85g新麦潮北海道吐司,124,76.4,104.96,正常
85g新麦潮手撕面包（提子味）,117,80.0,102.2,正常
小鱼仔,146,34.4,101.36,正常
85g统一老坛酸菜牛肉面,99,103.0,100.6,正常
